City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
220,Whitehorse,60.7161,-135.0538,45.37,65,40,8.05,CA,2022-09-10 16:36:34
221,Hammerfest,70.6634,23.6821,46.85,100,100,10.36,NO,2022-09-10 16:36:35
222,Saint-Jean-Port-Joli,47.2171,-70.2658,78.4,80,39,6.33,CA,2022-09-10 16:36:35
223,Hwange,-18.3693,26.5019,78.93,26,0,3.53,ZW,2022-09-10 16:36:35
224,Salamanca,40.8333,-6.0,89.38,23,0,12.91,ES,2022-09-10 16:36:36
225,Lavrentiya,65.5833,-171.0,40.1,91,100,3.29,RU,2022-09-10 16:36:36
226,Foix,42.8333,1.5833,73.78,55,9,4.5,FR,2022-09-10 16:36:36
227,Portales,34.1862,-103.3344,72.34,58,32,7.43,US,2022-09-10 16:36:37
228,Hambantota,6.1241,81.1185,78.71,82,92,16.98,LK,2022-09-10 16:36:37
229,Hilo,19.7297,-155.09,72.63,82,75,5.75,US,2022-09-10 16:36:37
230,Berberati,4.2612,15.7922,70.36,97,96,3.02,CF,2022-09-10 16:36:38
231,Leninskoye,41.7589,69.3864,72.84,36,64,2.75,KZ,2022-09-10 16:36:38
232,Klaksvik,62.2266,-6.589,52.72,86,78,14.05,FO,2022-09-10 16:36:38
233,Katsuura,35.1333,140.3,73.98,87,99,20.8,JP,2022-09-10 16:36:39
234,Fallon,39.4735,-118.7774,66.07,15,0,0.0,US,2022-09-10 16:37:39
235,Shingu,33.7333,135.9833,75.96,84,56,7.74,JP,2022-09-10 16:37:39
236,Maxcanu,20.5833,-89.9833,93.02,45,93,4.65,MX,2022-09-10 16:37:40
237,Macherla,16.4833,79.4333,79.59,85,100,6.17,IN,2022-09-10 16:37:40
238,Pevek,69.7008,170.3133,41.56,81,19,4.56,RU,2022-09-10 16:37:41
239,Pyay,18.8167,95.2167,76.26,93,100,5.21,MM,2022-09-10 16:37:41
240,Geraldton,-28.7667,114.6,50.41,93,0,6.91,AU,2022-09-10 16:37:41
241,Kiunga,-6.1219,141.2906,72.14,99,96,1.3,PG,2022-09-10 16:37:42
242,Kolondieba,11.0882,-6.8926,76.84,89,97,4.25,ML,2022-09-10 16:37:42
243,Nuevo Progreso,23.1667,-97.95,89.55,60,31,5.08,MX,2022-09-10 16:37:43
244,La Rioja,42.25,-2.5,82.18,36,5,4.61,ES,2022-09-10 16:37:43
245,Broome,42.2506,-75.833,79.2,55,0,6.91,US,2022-09-10 16:37:43
246,Saldanha,-33.0117,17.9442,59.05,88,60,7.02,ZA,2022-09-10 16:37:44
247,Kahului,20.8947,-156.47,77.85,78,20,4.61,US,2022-09-10 16:37:44
248,Hanmer Springs,-42.5167,172.8167,37.9,94,77,2.93,NZ,2022-09-10 16:37:44
249,Dudinka,69.4058,86.1778,36.63,95,100,11.23,RU,2022-09-10 16:37:45
250,Bay Roberts,47.5999,-53.2648,59.32,91,100,18.99,CA,2022-09-10 16:37:45
251,Normandin,48.8333,-72.5321,79.11,65,3,5.75,CA,2022-09-10 16:36:47
252,Auki,-8.7676,160.7034,75.24,88,12,4.03,SB,2022-09-10 16:37:45
253,Sooke,48.3746,-123.7276,73.44,48,0,20.71,CA,2022-09-10 16:37:46
254,Belmonte,-15.8631,-38.8828,77.7,50,12,6.13,BR,2022-09-10 16:37:46
255,Emerald,-23.5333,148.1667,57.34,69,19,7.09,AU,2022-09-10 16:37:46
256,Tsumeb,-19.2333,17.7167,82.15,9,0,9.53,NA,2022-09-10 16:37:47
257,Tasiilaq,65.6145,-37.6368,51.96,71,69,7.02,GL,2022-09-10 16:37:47
258,Barra Patuca,15.8,-84.2833,85.24,74,93,9.91,HN,2022-09-10 16:37:47
259,Amuntai,-2.4177,115.2494,73.0,96,91,0.16,ID,2022-09-10 16:37:48
260,Nikolskoye,59.7035,30.7861,57.09,68,11,3.74,RU,2022-09-10 16:37:48
261,Genhe,50.7833,121.5167,53.4,97,83,4.32,CN,2022-09-10 16:37:48
262,Nizwa,22.9333,57.5333,90.75,36,91,6.49,OM,2022-09-10 16:37:49
263,Gornyy,55.1153,83.9059,49.03,45,100,6.58,RU,2022-09-10 16:37:49
264,Svetlogorsk,52.6333,29.7333,49.17,80,100,15.12,BY,2022-09-10 16:37:50
265,High Level,58.5169,-117.136,57.31,62,20,4.61,CA,2022-09-10 16:37:50
266,Mount Isa,-20.7333,139.5,67.77,24,0,8.05,AU,2022-09-10 16:37:50
267,Kargopol,61.5071,38.9456,45.41,85,100,4.59,RU,2022-09-10 16:37:51
268,Wasilla,61.5814,-149.4394,47.35,93,100,6.91,US,2022-09-10 16:34:46
269,Tadine,-21.55,167.8833,71.91,91,19,6.96,NC,2022-09-10 16:37:51
270,Turukhansk,65.8167,87.9833,33.57,80,93,3.33,RU,2022-09-10 16:37:51
271,Ilo,-17.6394,-71.3375,61.66,72,100,12.66,PE,2022-09-10 16:37:52
272,Xichang,27.8964,102.2634,56.26,94,69,1.48,CN,2022-09-10 16:37:52
273,Manyana,-23.4,21.7167,76.69,12,0,8.66,BW,2022-09-10 16:37:53
274,Baiyin,36.5583,104.2081,63.57,44,12,5.73,CN,2022-09-10 16:37:53
275,Pimentel,-6.8367,-79.9342,64.69,77,100,10.36,PE,2022-09-10 16:37:53
276,Bandar,2.05,99.75,73.4,91,90,2.95,ID,2022-09-10 16:37:54
277,Waipawa,-41.4122,175.5153,45.86,96,100,5.17,NZ,2022-09-10 16:37:54
278,Sao Joao Da Barra,-21.6403,-41.0511,89.69,65,4,23.4,BR,2022-09-10 16:38:54
279,Rockport,28.0206,-97.0544,89.65,67,0,5.75,US,2022-09-10 16:34:53
280,Cap Malheureux,-19.9842,57.6142,71.47,63,2,5.01,MU,2022-09-10 16:38:55
281,Straumen,63.8709,11.2999,59.0,63,67,0.87,NO,2022-09-10 16:38:55
282,Beringovskiy,63.05,179.3167,45.84,94,70,12.88,RU,2022-09-10 16:38:55
283,Masoko,-9.3333,33.75,70.3,56,65,2.98,TZ,2022-09-10 16:38:56
284,La Orilla,17.9833,-102.2333,85.3,69,80,5.93,MX,2022-09-10 16:38:56
285,Udachnyy,66.4167,112.4,34.45,86,91,10.0,RU,2022-09-10 16:38:56
286,Kinablangan,7.6947,126.5503,77.65,86,98,5.3,PH,2022-09-10 16:38:57
287,Xuddur,4.1213,43.8894,80.83,54,94,22.95,SO,2022-09-10 16:38:57
288,Kashi,39.4547,75.9797,81.61,19,75,8.95,CN,2022-09-10 16:37:21
289,Ust-Maya,60.4167,134.5333,33.49,83,15,3.11,RU,2022-09-10 16:38:57
290,Ancud,-41.8697,-73.8203,54.23,75,13,4.43,CL,2022-09-10 16:38:58
291,Mitu,1.1983,-70.1733,75.79,90,99,4.14,CO,2022-09-10 16:38:58
292,College,64.8569,-147.8028,44.55,94,100,3.44,US,2022-09-10 16:38:59
293,Guasdualito,7.2424,-70.7324,89.56,70,40,3.44,VE,2022-09-10 16:38:59
