City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
294,Dire,12.2833,-10.9667,75.67,90,99,1.32,ML,overcast clouds
295,Longyearbyen,78.2186,15.6401,37.24,81,75,23.02,SJ,light intensity drizzle rain
296,Pingliang,35.5392,106.6861,60.06,88,6,3.91,CN,clear sky
297,Namalenga,-10.95,39.1,79.02,43,91,12.82,TZ,overcast clouds
298,Vila Velha,-20.3297,-40.2925,75.15,73,100,16.11,BR,overcast clouds
299,San Lazaro,18.0387,-88.6622,80.71,90,100,5.17,BZ,overcast clouds
300,Sept-Iles,50.2001,-66.3821,57.72,100,100,6.91,CA,mist
301,North Bend,43.4065,-124.2243,62.17,100,84,1.48,US,broken clouds
302,Phan Thiet,10.9333,108.1,77.92,88,78,2.86,VN,broken clouds
303,Dhangadhi,28.7079,80.5961,82.31,66,2,3.38,NP,clear sky
304,Luau,-10.7073,22.2247,87.96,22,22,7.11,AO,few clouds
305,Ayan,56.45,138.1667,49.69,66,92,5.01,RU,overcast clouds
306,Port Moresby,-9.4431,147.1797,76.42,94,40,3.44,PG,scattered clouds
307,Inhambane,-23.865,35.3833,72.93,81,0,14.7,MZ,clear sky
308,Qasigiannguit,68.8193,-51.1922,38.66,99,100,0.76,GL,moderate rain
309,Hoima,1.4356,31.3436,69.87,82,43,1.39,UG,light rain
310,Gimli,50.6336,-96.9907,57.22,58,2,10.36,CA,clear sky
311,Bezenchuk,52.982,49.4333,54.3,55,100,4.83,RU,overcast clouds
312,Honningsvag,70.9821,25.9704,42.55,87,100,6.91,NO,light rain
313,Marawi,7.9986,124.2928,69.19,91,100,3.09,PH,overcast clouds
314,Guerrero Negro,27.9769,-114.0611,77.04,77,5,7.0,MX,clear sky
315,Mantua,45.1667,10.7833,82.09,53,0,3.0,IT,clear sky
316,Chapais,49.7834,-74.8492,74.89,51,30,6.93,CA,scattered clouds
317,Litovko,49.2361,135.1742,57.9,91,100,1.54,RU,overcast clouds
318,Raudeberg,61.9875,5.1352,59.95,64,100,12.35,NO,overcast clouds
319,Havre-Saint-Pierre,50.2334,-63.5986,63.59,76,0,5.26,CA,clear sky
320,Chokurdakh,70.6333,147.9167,39.42,84,100,4.72,RU,overcast clouds
321,Homa Bay,-0.5273,34.4571,72.41,69,10,1.32,KE,light rain
322,Lakhnau,26.85,80.9167,84.18,84,40,4.61,IN,mist
323,Tourlaville,49.6383,-1.5664,71.02,73,0,8.05,FR,clear sky
324,Lucapa,-8.4192,20.7447,78.46,51,100,5.21,AO,overcast clouds
325,Faanui,-16.4833,-151.75,78.62,69,5,16.64,PF,clear sky
326,Coldstream,55.6511,-2.2529,68.18,70,100,4.52,GB,overcast clouds
327,Egvekinot,66.3167,-179.1667,36.64,77,94,4.61,RU,overcast clouds
328,Kassala,15.451,36.4,94.78,35,99,6.6,SD,overcast clouds
329,Puerto Madero,14.7208,-92.4215,79.56,81,94,5.37,MX,overcast clouds
330,Potters Bar,51.6935,-0.1784,73.76,68,99,4.0,GB,overcast clouds
331,Gat,31.61,34.7642,83.79,100,0,9.98,IL,clear sky
332,Beira,-19.8436,34.8389,75.18,75,0,11.63,MZ,clear sky
333,Nhamunda,-2.1861,-56.7131,103.57,20,10,4.25,BR,clear sky
334,Hay River,60.8156,-115.7999,49.12,64,4,11.95,CA,clear sky
335,Port Macquarie,-31.4333,152.9167,48.88,83,95,5.23,AU,overcast clouds
336,Tevaitoa,-16.7833,-151.5,78.53,71,3,15.73,PF,clear sky
337,Sartell,45.6216,-94.2069,66.85,60,0,4.0,US,clear sky
338,Makakilo City,21.3469,-158.0858,73.98,88,85,4.74,US,overcast clouds
339,Alma,48.5501,-71.6491,76.1,57,19,3.69,CA,few clouds
340,Xuanhua,40.6103,115.0447,67.33,65,3,3.85,CN,clear sky
341,Hobyo,5.3505,48.5268,77.05,85,43,26.87,SO,scattered clouds
342,Sapa,5.1544,120.3241,80.28,78,100,3.6,PH,overcast clouds
343,Vallenar,-28.5708,-70.7581,62.31,44,8,3.91,CL,clear sky
344,Valdez,1.2492,-78.9831,79.27,75,100,5.95,EC,overcast clouds
345,Miles City,46.4083,-105.8406,68.86,29,0,5.66,US,clear sky
346,Lavrentiya,65.5833,-171.0,41.85,84,100,17.05,RU,overcast clouds
