City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Touros,BR,82.24,broken clouds,-5.1989,-35.4608,
372,Hellin,ES,90.77,broken clouds,38.5106,-1.701,
373,Berdigestyakh,RU,37.0,light rain,62.0989,126.6992,
374,Paris,FR,74.95,clear sky,48.8534,2.3488,
375,Lodja,CD,75.51,light rain,-3.4833,23.4333,
376,Denpasar,ID,78.46,few clouds,-8.65,115.2167,
377,Kodiak,US,51.6,overcast clouds,57.79,-152.4072,
378,Piacabucu,BR,79.14,broken clouds,-10.4056,-36.4344,
379,Pamanukan,ID,78.44,broken clouds,-6.2842,107.8106,
380,Somerset East,ZA,55.58,broken clouds,-32.7217,25.588,
381,Cabo San Lucas,MX,85.51,clear sky,22.8909,-109.9124,
382,Kutum,SD,87.6,overcast clouds,14.2,24.6667,
383,Ust-Kishert,RU,43.84,overcast clouds,57.3654,57.2495,
384,Tarakan,ID,76.5,mist,3.3,117.6333,
385,Aksarka,RU,44.87,overcast clouds,66.5606,67.7975,
386,Naica,MX,76.59,few clouds,27.85,-105.4833,
387,Viedma,AR,72.82,clear sky,-40.8135,-62.9967,
388,Sabha,LY,94.5,clear sky,27.0377,14.4283,
389,Dickinson,US,90.07,clear sky,29.4608,-95.0513,
390,Chake Chake,TZ,73.89,clear sky,-5.2459,39.7666,
391,Reichenau,PL,65.71,overcast clouds,50.9075,14.9563,
392,Westport,US,77.56,broken clouds,41.1415,-73.3579,
393,Sibu,MY,74.23,overcast clouds,2.3,111.8167,
394,Blue Springs,US,69.46,clear sky,39.0169,-94.2816,
396,Berlevag,NO,44.6,light rain,70.8578,29.0864,
397,Conakry,GN,78.71,overcast clouds,9.538,-13.6773,
398,San Pedro,PH,82.35,broken clouds,14.35,121.0167,
399,Tolyatti,RU,54.82,overcast clouds,53.5303,49.3461,
400,Bereda,ES,91.42,overcast clouds,43.2686,-7.5406,
401,Pato Branco,BR,69.62,overcast clouds,-26.2286,-52.6706,
402,Cusuna,HN,89.42,scattered clouds,15.85,-85.2333,
403,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,
404,Kavieng,PG,81.36,broken clouds,-2.5744,150.7967,
405,Santa Vitoria Do Palmar,BR,56.95,clear sky,-33.5189,-53.3681,
406,Harper,LR,77.09,overcast clouds,4.375,-7.7169,
407,Westlock,CA,61.11,clear sky,54.1502,-113.8688,
408,Guye,CN,64.6,clear sky,39.7333,118.4167,
409,Ajdabiya,LY,84.43,clear sky,30.7554,20.2263,
410,Benton,US,67.55,scattered clouds,36.3334,-94.3335,
411,Eureka,US,63.21,overcast clouds,40.8021,-124.1637,
412,Margate,GB,72.88,scattered clouds,51.3813,1.3862,
413,Abancay,PE,72.84,broken clouds,-13.6339,-72.8814,
414,Caravelas,BR,79.97,clear sky,-17.7125,-39.2481,
415,Kondinskoye,RU,40.59,broken clouds,59.6481,67.41,
416,Katsuura,JP,76.3,overcast clouds,35.1333,140.3,
417,Biltine,TD,94.95,clear sky,14.5333,20.9167,
418,Soyo,AO,74.21,overcast clouds,-6.1349,12.3689,
419,Venice,US,93.15,haze,27.0998,-82.4543,
